meta_description,duplicate_count,urls,page_types,business_priorities,severity
fork fitting with detachable 2:1 fitting for efficient furling load management and reliable 10t swl performance offshore.,5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-ten-fork-2-1-fitting-12562 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-ten-fork-2-1-fitting-12562 | https://www.morfrac.com/es/shop/powerfurl-ten-fork-2-1-fitting-12562 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-fork-2-1-fitting-12562 | https://www.morfrac.com/shop/powerfurl-ten-fork-2-1-fitting-12562,product,high,MEDIUM
"fork fitting designed for powerfurl.[ten], delivering reliable load transfer and robust integration for demanding 10t swl furling systems.",5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-ten-fork-fitting-12561 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-ten-fork-fitting-12561 | https://www.morfrac.com/es/shop/powerfurl-ten-fork-fitting-12561 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-fork-fitting-12561 | https://www.morfrac.com/shop/powerfurl-ten-fork-fitting-12561,product,high,MEDIUM
"flat-faced titanium dogbone. delivering lightweight, compact and efficient line-to-line or hardware attachment solutions for sailing applications. | morfrac",5,https://www.morfrac.com/es/shop/dogbone-25/dogbone-flat-faced-medium-titanium-12820 | https://www.morfrac.com/es/shop/dogbone-dogbone-ti-29/dogbone-flat-faced-medium-titanium-12820 | https://www.morfrac.com/es/shop/outlet-36/dogbone-flat-faced-medium-titanium-12820 | https://www.morfrac.com/shop/dogbone-25/dogbone-flat-faced-medium-titanium-12820 | https://www.morfrac.com/shop/outlet-36/dogbone-flat-faced-medium-titanium-12820,product,high,MEDIUM
"complete 1.5t swl top down furling kit engineered for structured luff sails, delivering smooth furling control and reliable offshore performance.",5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-one-top-down-furling-kit-12825 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-top-down-furling-kit-12825 | https://www.morfrac.com/es/shop/powerfurl-one-top-down-furling-kit-12825 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-top-down-furling-kit-12825 | https://www.morfrac.com/shop/powerfurl-one-top-down-furling-kit-12825,product,high,MEDIUM
"bottom furling drum unit for powerfurl.[ten], engineered for smooth furling control and reliable 10t swl sail handling performance.",5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-ten-drum-bottom-furling-unit-12560 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-ten-drum-bottom-furling-unit-12560 | https://www.morfrac.com/es/shop/powerfurl-ten-drum-bottom-furling-unit-12560 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-drum-bottom-furling-unit-12560 | https://www.morfrac.com/shop/powerfurl-ten-drum-bottom-furling-unit-12560,product,high,MEDIUM
flat-faced titanium dogbone. engineered for low-profile soft attachment points and efficient high-load rope connections onboard performance yachts. | morfrac,5,https://www.morfrac.com/es/shop/dogbone-25/dogbone-flat-faced-large-titanium-12821 | https://www.morfrac.com/es/shop/dogbone-dogbone-ti-29/dogbone-flat-faced-large-titanium-12821 | https://www.morfrac.com/es/shop/outlet-36/dogbone-flat-faced-large-titanium-12821 | https://www.morfrac.com/shop/dogbone-25/dogbone-flat-faced-large-titanium-12821 | https://www.morfrac.com/shop/outlet-36/dogbone-flat-faced-large-titanium-12821,product,high,MEDIUM
"top swivel unit for powerfurl.[one], engineered for smooth furling rotation, efficient load management and reliable sail control at 1.5t swl.",5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-one-head-swivel-unit-12533 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-head-swivel-unit-12533 | https://www.morfrac.com/es/shop/powerfurl-one-head-swivel-unit-12533 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-head-swivel-unit-12533 | https://www.morfrac.com/shop/powerfurl-one-head-swivel-unit-12533,product,high,MEDIUM
"lightweight 1.5t swl lashing fitting designed for seamless integration with powerfurl.[one], ensuring efficient load distribution and reliable furling performance.",5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-one-lashing-fitting-12524 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-lashing-fitting-12524 | https://www.morfrac.com/es/shop/powerfurl-one-lashing-fitting-12524 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-lashing-fitting-12524 | https://www.morfrac.com/shop/powerfurl-one-lashing-fitting-12524,product,high,MEDIUM
lightweight sailing block with exceptional weight-to-swl ratio. 155kg swl with high load bearing for efficient high-performance sailing applications.,5,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-0-5-sailing-block-12322 | https://www.morfrac.com/es/shop/morfblock-light-0-5-sailing-block-12322 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-0-5-sailing-block-12322 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-0-5-sailing-block-12322 | https://www.morfrac.com/shop/morfblock-light-0-5-sailing-block-12322,product,high,MEDIUM
high-strength 1.5t swl thimble engineered for clean integration and reliable load transfer within the powerfurl.[one] furling system.,5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-one-thimble-12528 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-thimble-12528 | https://www.morfrac.com/es/shop/powerfurl-one-thimble-12528 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-thimble-12528 | https://www.morfrac.com/shop/powerfurl-one-thimble-12528,product,high,MEDIUM
1.5t swl top down integrator designed for smooth and reliable top down furling performance with powerfurl.[one].,5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-one-top-down-integrator-12534 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-top-down-integrator-12534 | https://www.morfrac.com/es/shop/powerfurl-one-top-down-integrator-12534 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-top-down-integrator-12534 | https://www.morfrac.com/shop/powerfurl-one-top-down-integrator-12534,product,high,MEDIUM
"bottom furling drum unit for powerfurl.[one], engineered for smooth furling control, reliable rotation and efficient sail handling at 1.5t swl.",5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-one-drum-bottom-furling-unit-12529 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-drum-bottom-furling-unit-12529 | https://www.morfrac.com/es/shop/powerfurl-one-drum-bottom-furling-unit-12529 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-drum-bottom-furling-unit-12529 | https://www.morfrac.com/shop/powerfurl-one-drum-bottom-furling-unit-12529,product,high,MEDIUM
"1.5t swl furling kit including titanium shackle fittings for lightweight integration, reliable load transfer and smooth furling performance.",5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-one-furling-kit-shackles-12531 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-furling-kit-shackles-12531 | https://www.morfrac.com/es/shop/powerfurl-one-furling-kit-shackles-12531 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-furling-kit-shackles-12531 | https://www.morfrac.com/shop/powerfurl-one-furling-kit-shackles-12531,product,high,MEDIUM
compact flat-faced titanium dogbone. designed for clean soft attachment solutions and reliable load transfer onboard sailing yachts. | morfrac,5,https://www.morfrac.com/es/shop/dogbone-25/dogbone-flat-faced-small-titanium-12819 | https://www.morfrac.com/es/shop/dogbone-dogbone-ti-29/dogbone-flat-faced-small-titanium-12819 | https://www.morfrac.com/es/shop/outlet-36/dogbone-flat-faced-small-titanium-12819 | https://www.morfrac.com/shop/dogbone-25/dogbone-flat-faced-small-titanium-12819 | https://www.morfrac.com/shop/outlet-36/dogbone-flat-faced-small-titanium-12819,product,high,MEDIUM
aluminium friction ring with ptfe coating for smooth low-friction rope management and lightweight high-performance sailing applications. groove max line ø4mm.,4,https://www.morfrac.com/es/shop/morfring-26/morfring-15-10pack-friction-ring-12898 | https://www.morfrac.com/es/shop/morfring-26/morfring-15-ptfe-friction-ring-12476 | https://www.morfrac.com/shop/morfring-26/morfring-15-10pack-friction-ring-12898 | https://www.morfrac.com/shop/morfring-26/morfring-15-ptfe-friction-ring-12476,product,high,LOW
tdis top down integrators designed for smooth and reliable 10t swl top down furling performance with structured luff sails.,4,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-ten-tdis-top-down-integrators-12567 | https://www.morfrac.com/es/shop/powerfurl-ten-tdis-top-down-integrators-12567 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-tdis-top-down-integrators-12567 | https://www.morfrac.com/shop/powerfurl-ten-tdis-top-down-integrators-12567,product,high,LOW
"top swivel unit for powerfurl.[ten], engineered for smooth furling rotation, efficient load management and reliable 10t swl sail control.",4,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-ten-head-swivel-unit-12566 | https://www.morfrac.com/es/shop/powerfurl-ten-head-swivel-unit-12566 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-head-swivel-unit-12566 | https://www.morfrac.com/shop/powerfurl-ten-head-swivel-unit-12566,product,high,LOW
"powerfurl, the advanced furling system engineered for smooth, reliable performance. ideal for competitive sailors and cruising enthusiasts alike.",4,https://www.morfrac.com/es/shop/outlet-36/powerfurl3-kit-mix-12818 | https://www.morfrac.com/es/shop/outlet-36/powerfurl3-thimble-12817 | https://www.morfrac.com/shop/outlet-36/powerfurl3-kit-mix-12818 | https://www.morfrac.com/shop/outlet-36/powerfurl3-thimble-12817,product,high,LOW
"lightweight, high-strength soft loop connector designed for versatile rigging applications. perfect for performance sailing and advanced deck hardware setups.",4,https://www.morfrac.com/es/shop/mloop-34/mloop-dyneema-loop-12675 | https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675 | https://www.morfrac.com/shop/mloop-34/mloop-dyneema-loop-12675 | https://www.morfrac.com/shop/mloop-dyneema-loop-12675,product,high,LOW
morfblock.[light] - sheave ø 50mm - max line ø 14mm 2000 kg swl - high load bearing,4,https://www.morfrac.com/es/shop/morfblock-light-4-hl-12823 | https://www.morfrac.com/es/shop/outlet-36/morfblock-light-4-hl-12823 | https://www.morfrac.com/shop/morfblock-light-4-hl-12823 | https://www.morfrac.com/shop/outlet-36/morfblock-light-4-hl-12823,product,high,LOW
aluminum friction ring - anodized with ptfe coating - external diameter ø 60mm - internal diameter ø 32mm - groove max line ø 15mm,4,https://www.morfrac.com/es/shop/morfring-26/morfring-60xl-12828 | https://www.morfrac.com/es/shop/outlet-36/morfring-60xl-12828 | https://www.morfrac.com/shop/morfring-26/morfring-60xl-12828 | https://www.morfrac.com/shop/outlet-36/morfring-60xl-12828,product,high,LOW
high-efficiency lightweight sailing block with excellent weight-to-swl ratio and smooth running performance. 750kg swl.,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-03-performance-sailing-block-12334 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-03-performance-sailing-block-12334 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-03-performance-sailing-block-12334,product,high,LOW
lightweight aluminium dogbone. engineered for efficient rope-to-rope and rope-to-hardware connections onboard performance sailing yachts. total length 25mm. | morfrac,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-25-7-aluminium-12460 | https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-25-7-aluminium-12460 | https://www.morfrac.com/shop/dogbone-25/dogbone-25-7-aluminium-12460,product,high,LOW
"grade 5 titanium dogbone. delivering maximum load capacity, lightweight construction and reliable offshore sailing performance. total length 70mm. | morfrac",3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-70-26-titanium-12673 | https://www.morfrac.com/es/shop/dogbone-dogbone-ti-29/dogbone-70-26-titanium-12673 | https://www.morfrac.com/shop/dogbone-25/dogbone-70-26-titanium-12673,product,high,LOW
"compact sailing block combining lightweight construction, efficiency and outstanding value. 335kg swl with high performance bearing.",3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-02-performance-sailing-block-12330 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-02-performance-sailing-block-12330 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-02-performance-sailing-block-12330,product,high,LOW
aluminium dogbone. delivering lightweight construction and efficient line attachment performance for high-load sailing systems. total length 50mm. | morfrac,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-50-15-aluminium-12464 | https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-50-15-aluminium-12464 | https://www.morfrac.com/shop/dogbone-25/dogbone-50-15-aluminium-12464,product,high,LOW
"aluminium dogbone. designed for lightweight, reliable and efficient soft attachment solutions in demanding sailing applications. total length 40mm. | morfrac",3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-40-12-aluminium-12461 | https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-40-12-aluminium-12461 | https://www.morfrac.com/shop/dogbone-25/dogbone-40-12-aluminium-12461,product,high,LOW
"complete 1.5t swl furling kit for powerfurl.[one], engineered for smooth, reliable furling performance and efficient sail handling onboard.",3,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-one-furling-kit-12530 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-furling-kit-12530 | https://www.morfrac.com/es/shop/powerfurl-one-furling-kit-12530,product,high,LOW
"cnc-machined titanium dogbone. designed for ultra lightweight, high-strength soft attachment solutions onboard performance yachts. total length 50mm. | morfrac",3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-50-15-titanium-12465 | https://www.morfrac.com/es/shop/dogbone-dogbone-ti-29/dogbone-50-15-titanium-12465 | https://www.morfrac.com/shop/dogbone-25/dogbone-50-15-titanium-12465,product,high,LOW
compact lightweight sailing block with optimised efficiency and outstanding value. 170kg swl with high performance bearing.,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-01-performance-sailing-block-12326 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-01-performance-sailing-block-12326 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-01-performance-sailing-block-12326,product,high,LOW
lightweight xl sailing block delivering smoother handling and reduced friction through larger sheave dimensions. 1000kg swl with high performance bearing.,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-xl-01-performance-sailing-block-12366 | https://www.morfrac.com/es/shop/morfblock-morfblockxl-21/morfblock-xl-01-performance-sailing-block-12366 | https://www.morfrac.com/shop/morfblock-17/morfblock-xl-01-performance-sailing-block-12366,product,high,LOW
xl sailing block engineered with oversized sheave geometry for easier rope handling and smooth operation under load. 1200kg swl with high load bearing.,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-xl-01-high-load-sailing-block-12364 | https://www.morfrac.com/es/shop/morfblock-morfblockxl-21/morfblock-xl-01-high-load-sailing-block-12364 | https://www.morfrac.com/shop/morfblock-17/morfblock-xl-01-high-load-sailing-block-12364,product,high,LOW
"lightweight sailing block engineered for maximum efficiency, smooth handling and outstanding value. 3300kg swl.",3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-06-performance-sailing-block-12346 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-06-performance-sailing-block-12346 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-06-performance-sailing-block-12346,product,high,LOW
lightweight sailing block engineered for the best weight-to-swl-to-price ratio on the market. 225kg swl with high load bearing.,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-01-high-load-sailing-block-12324 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-01-high-load-sailing-block-12324 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-01-high-load-sailing-block-12324,product,high,LOW
lightweight high-performance sailing block engineered for smooth handling and maximum efficiency. 2100kg swl.,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-05-performance-sailing-block-12342 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-05-performance-sailing-block-12342 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-05-performance-sailing-block-12342,product,high,LOW
"lightweight high-load sailing block delivering exceptional strength, efficiency and value. 2000kg swl with high load bearing.",3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-04-high-load-sailing-block-12336 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-04-high-load-sailing-block-12336 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-04-high-load-sailing-block-12336,product,high,LOW
"lightweight sailing block combining high efficiency, compact dimensions and excellent weight-to-swl performance. 2800kg swl.",3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-05-high-load-sailing-block-12340 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-05-high-load-sailing-block-12340 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-05-high-load-sailing-block-12340,product,high,LOW
"xl sailing block designed for easier rope handling, smoother trimming and reliable high load performance. 2000kg swl with high load bearing.",3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-xl-02-high-load-sailing-block-12372 | https://www.morfrac.com/es/shop/morfblock-morfblockxl-21/morfblock-xl-02-high-load-sailing-block-12372 | https://www.morfrac.com/shop/morfblock-17/morfblock-xl-02-high-load-sailing-block-12372,product,high,LOW
titanium dogbone. delivering exceptional strength-to-weight ratio and reliable high-load attachment performance onboard racing yachts. total length 60mm. | morfrac,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-60-19-titanium-12646 | https://www.morfrac.com/es/shop/dogbone-dogbone-ti-29/dogbone-60-19-titanium-12646 | https://www.morfrac.com/shop/dogbone-25/dogbone-60-19-titanium-12646,product,high,LOW
lightweight high-efficiency sailing block delivering exceptional strength-to-weight performance. 450kg swl with high load bearing.,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-02-high-load-sailing-block-12328 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-02-high-load-sailing-block-12328 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-02-high-load-sailing-block-12328,product,high,LOW
lightweight aluminium dogbone. engineered for clean deck layouts and efficient high-load rope connection systems. total length 45mm. | morfrac,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-45-19-aluminium-12463 | https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-45-19-aluminium-12463 | https://www.morfrac.com/shop/dogbone-25/dogbone-45-19-aluminium-12463,product,high,LOW
lightweight aluminium dogbone. engineered for efficient rope-to-hardware connections and durable sailing performance. total length 65mm. | morfrac,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-65-24-aluminium-12469 | https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-65-24-aluminium-12469 | https://www.morfrac.com/shop/dogbone-25/dogbone-65-24-aluminium-12469,product,high,LOW
lightweight sailing block designed for top-level sailing performance and maximum efficiency. 1000kg swl with high load bearing.,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-03-high-load-sailing-block-12332 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-03-high-load-sailing-block-12332 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-03-high-load-sailing-block-12332,product,high,LOW
high-efficiency lightweight sailing block delivering exceptional strength-to-weight ratio for demanding sailing applications. 4500kg swl.,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-06-high-load-sailing-block-12344 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-06-high-load-sailing-block-12344 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-06-high-load-sailing-block-12344,product,high,LOW
high-load aluminium dogbone. engineered for efficient rope connections and lightweight deck hardware integration offshore. total length 60mm. | morfrac,3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-60-19-aluminium-12466 | https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-60-19-aluminium-12466 | https://www.morfrac.com/shop/dogbone-25/dogbone-60-19-aluminium-12466,product,high,LOW
"grade 5 titanium dogbone. delivering maximum strength, lightweight construction and efficient soft attachment integration onboard racing yachts. total length 40mm. | morfrac",3,https://www.morfrac.com/es/shop/dogbone-25/dogbone-40-12-titanium-12462 | https://www.morfrac.com/es/shop/dogbone-dogbone-ti-29/dogbone-40-12-titanium-12462 | https://www.morfrac.com/shop/dogbone-25/dogbone-40-12-titanium-12462,product,high,LOW
"featherlight ø20mm stick-on padeye engineered for lightweight, versatile and easy-to-install deck attachment solutions onboard performance yachts.",2,https://www.morfrac.com/es/shop/padeye-27/padeye-stick-20-stick-on-padeye-12650 | https://www.morfrac.com/shop/padeye-27/padeye-stick-20-stick-on-padeye-12650,product,high,LOW
